source_column,feature_name,unit,target_name,population_name,cell_compartment_name,emission
Em616nm_IL1b,,nm,IL1B,,,616
Em616nm_TNFa,,nm,TNFA,,,616
Em665nm_IL1b,,nm,IL1B,,,665
Em665nm_TNFa,,nm,TNFA,,,665
delta_ratio_IL1b,delta_ratio,,IL1B,,,
delta_ratio_TNFa,delta_ratio,,TNFA,,,
check_interpol_IL1b,,,,,,
check_interpol_TNFa,,,,,,
Cells_count,count,number,,,cell,
IL1bPosCells_IL1b_meanIntensity_intensity,mean_intensity,,IL1B,IL1B,cell,
IL1bPosCells_count,count,,IL1B,,,
IL1bPosCells_percent,percent,,IL1B,,,
IL1bRel_pgml,,,,,,
Nuc_circularity,circularity,,,,nucleus,
Nuc_count,count,number,,,nucleus,
Nuc_meanArea_um2_area,mean_area,um2,,,nucleus,
Nuc_meanIntensity_intensity,mean_intensity,,,,nucleus,
SpeckPosCells_count,count,number,Specks,,,
SpeckPosCells_multiSpeck_count,count,number,Specks,multi_specks,,
SpeckPosCells_TNFaPosCell_count,count,number,Specks,TNFaPosCells,,
SpeckPosCells_TNFaPosCell_percent,percent,,Specks,TNFaPosCells,,
SpeckPosCells_multiSpeck_percent,percent,,Specks,multi_specks,,
SpeckPosCells_percent,percent,,Specks,,,
Speck_count,count,number,Specks,,,
Specks_meanArea_um2_area,area,um2,Specks,,,
Specks_meanIntensity_intensity,mean_intensity,,Specks,,,
TNFaPosCells_TNFaSpot_meanArea_um2_area,mean_area,um2,TNFA,TNFaPosCells,multi_spot,
TNFaPosCells_count,count,,TNFA,TNFaPosCells,multi_spot,
TNFaPosCells_multiTNFaSpot_count,count,,TNFA,TNFaPosCells,multi_spot,
TNFaPosCells_multiTNFaSpot_meanArea_um2_area,mean_area,um2,TNFA,TNFaPosCells,multi_spot,
TNFaPosCells_multiTNFaSpot_percent,percent,,TNFA,TNFaPosCells,multi_spot,
TNFaPosCells_percent,percent,,TNFA,TNFaPosCells,,
TNFaPosCells_twoTNFaSpot_count,count,,TNFA,TNFaPosCells,two_spots,
TNFaPosCells_twoTNFaSpot_percent,percent,,TNFA,TNFaPosCells,two_spots,
TNFaRel_pgml,,,,,,
TNFaSpot_count,count,,TNFA,TNFaPosCells,Spot,
TNFaSpot_meanArea_um2_area,mean_area,um2,TNFA,TNFaPosCells,Spot,
TNFaSpot_meanIntensity_intensity,mean_intensity,,TNFA,TNFaPosCells,Spot,
IL1bRel_SpeckCells_pgml,,,,,,
